user_id,item_id,order_count
1,101,5
1,103,2
1,107,1
1,110,6
1,201,3
1,205,1
1,215,4
2,101,1
2,102,4
2,105,7
2,109,2
2,203,3
2,206,1
2,210,5
3,103,6
3,104,8
3,106,1
3,111,2
3,205,4
3,207,1
3,212,3
4,101,3
4,107,5
4,108,1
4,112,4
4,201,6
4,204,2
4,213,1
5,102,9
5,104,3
5,107,1
5,109,5
5,202,2
5,206,7
5,214,3
6,103,2
6,105,6
6,108,1
6,113,4
6,203,5
6,207,2
6,215,1
7,104,7
7,106,1
7,109,3
7,114,2
7,204,4
7,208,1
7,210,6
8,105,4
8,108,2
8,110,7
8,115,1
8,205,3
8,209,5
8,211,2
9,106,9
9,109,1
9,111,3
9,116,2
9,206,4
9,212,1
9,214,5
10,107,3
10,110,5
10,112,1
10,117,4
10,207,6
10,210,2
10,213,3
11,101,2
11,105,7
11,109,3
12,102,5
12,106,1
12,110,8
13,103,3
13,107,4
13,111,1
14,104,8
14,108,2
14,112,5
15,105,6
15,109,1
15,113,7
16,106,4
16,110,5
16,114,2
17,107,7
17,111,3
17,115,1
18,108,2
18,112,6
18,116,4
19,109,5
19,113,2
19,117,7
20,110,1
20,114,4
20,101,8
21,111,3
21,115,6
21,102,1
22,112,7
22,116,2
22,103,5
23,113,4
23,117,5
23,104,1
24,114,9
24,101,3
24,105,6
25,115,2
25,102,7
25,106,1
26,116,5
26,103,3
26,107,4
27,117,1
27,104,6
27,108,2
28,101,4
28,105,8
28,109,5
29,102,7
29,106,3
29,110,1
30,103,2
30,107,5
30,111,4
31,104,6
31,108,1
31,112,7
32,105,3
32,109,4
32,113,2
33,106,8
33,110,1
33,114,5
34,107,2
34,111,6
34,115,3
35,108,5
35,112,2
35,116,7
36,109,1
36,113,4
36,117,1
37,110,6
37,114,3
37,101,5
38,111,4
38,115,7
38,102,2
39,112,8
39,116,1
39,103,6
40,113,3
40,117,5
40,104,1
41,114,7
41,101,4
41,105,8
42,115,1
42,102,6
42,106,3
43,116,4
43,103,2
43,107,5
44,117,6
44,104,1
44,108,4
45,101,9
45,105,3
45,109,7
46,102,2
46,106,5
46,110,1
47,103,7
47,107,2
47,111,6
48,104,1
48,108,8
48,112,3
49,105,5
49,109,2
49,113,7
50,106,1
50,110,4
50,114,1
1,102,4
1,105,7
1,108,2
1,111,1
1,202,6
1,206,3
1,216,5
2,103,2
2,106,5
2,110,1
2,112,4
2,204,6
2,207,2
2,211,3
3,101,7
3,105,1
3,107,4
3,112,8
3,206,2
3,208,5
3,213,1
4,102,6
4,106,3
4,109,1
4,113,5
4,202,7
4,205,2
4,214,4
5,103,1
